run_id,model,direct_accuracy,cot_accuracy,delta,mcnemar_b,mcnemar_c,mcnemar_p_value,cohen_h_cot_vs_direct
20251106-142751,claude-3.5-sonnet,0.8,0.8833333333333333,0.08333333333333326,1,6,0.13057001811573699,0.23013208435938015
20251106-142751,gpt-4.1,0.85,0.9666666666666667,0.1166666666666667,0,7,0.023342202012890834,0.42819080962630585
20251106-142751,gpt-4o-mini,0.7833333333333333,0.8666666666666667,0.08333333333333337,3,8,0.22779999398822903,0.22075734374088496
20251106-142751,mistral-large-2407,0.8166666666666667,0.9333333333333333,0.1166666666666667,1,8,0.04550026389635853,0.36262854037013703
