run_id,model,prompt_style,n_examples,n_correct,accuracy,ci_low,ci_high,prompt_tokens,completion_tokens
20251106-142751,claude-3.5-sonnet,cot,60,53,0.8833333333333333,0.7782097940014187,0.9423235259654995,8410,7735
20251106-142751,claude-3.5-sonnet,direct,60,48,0.8,0.6821795390818299,0.8817161026314104,7330,4615
20251106-142751,gpt-4.1,cot,60,58,0.9666666666666667,0.8863601247107462,0.9908108735098498,7461,6360
20251106-142751,gpt-4.1,direct,60,51,0.85,0.7388517410884038,0.9190265075770431,6621,60
20251106-142751,gpt-4o-mini,cot,60,52,0.8666666666666667,0.7583460540992789,0.9308597302169036,7461,9033
20251106-142751,gpt-4o-mini,direct,60,47,0.7833333333333333,0.6637973165265748,0.8687707895359299,6621,60
20251106-142751,mistral-large-2407,cot,60,56,0.9333333333333333,0.8407442010623228,0.973771725856802,7385,7884
20251106-142751,mistral-large-2407,direct,60,49,0.8166666666666667,0.7008000677353371,0.8944231096286387,6545,120
